brand,count,brand_rank
xiaomi,1787,1
vivo,1155,2
oppo,1155,2
samsung,1081,4
realme,638,5
nokia,232,6
lenovo,146,7
honor,131,8
google,118,9
moto,117,10
lyf,95,11
huawei,86,12
asus,81,13
micromax,77,14
tecno,75,15
infinix,54,16
lava,54,16
htc,41,18
gionee,41,18
lg,34,20
sony,28,21
motorola,25,22
oneplus,21,23
apple,21,23
coolpad,20,25
intex,14,26
karbonn,13,27
yu,12,28
panasonic,10,29
zte,8,30
meizu,7,31
xolo,6,32
microsoft,5,33
alcatel,5,33
tcl,5,33
acer,3,36
fero,3,36
dell,3,36
celkon,3,36
cat,2,40
vodafone,2,40
blackberry,2,40
wiko,1,43
amazon,1,43
jio,1,43
spice,1,43
bq,1,43
ericsson,1,43
hp,1,43
techno,1,43
blu,1,43
